id,subject,mohs,source,original_problem,adapted_problem,answer
64,Algebra,30M,"USA TSTST 2018, P6","Let S $=$ {1, $\ldots$ , 100}, and for every positive integer n define $T_n$ $=$ {($a_1$, $\ldots$ , $a_n$) $\in$ S n | $a_1$ + $\cdots$ + $a_n$ $\equiv$ 0 (mod 100)} . Determine which n have the following property: if we color any 75 elements of S red, then $a_t$ least half of the n-tuples in $T_n$ have $a_n$ even number of coordinates with red elements.",Let $P(x) = x^3 - 6x^2 + 3x - 5$. Find the product of all real roots of $P(x) = 0$.,5
65,Algebra,35M,"IMO 2001, P6",Let a $>$ b $>$ c $>$ d be positive integers and suppose that ac + bd $=$ (b + d + a - c)(b + d - a + c). Prove that ab + cd is not prime.,"For the recurrence $a_0 = 1$, $a_{n+1} = 2a_n + 3$, find $a_{10}$.",4093
66,Algebra,35M,"IMO 2002, P3","Find all pairs of positive integers m, n $\ge$ 3 for which there exist infinitely many positive integers a such that a m + a - $\frac{1}{a}$ n + $a^2$ - 1 is itself an integer.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
67,Algebra,35M,"IMO 2006, P3","Determine the least real number M such that the inequality |ab($a^2$ - $b^2$ ) + bc($b^2$ - $c^2$ ) + ca($c^2$ - $a^2$ )| $\le$ M($a^2$ + $b^2$ + $c^2$ )$^2$ holds for all real numbers a, b and c.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 8 \pmod{18}$.",800
68,Algebra,35M,"IMO 2015, P5",Let R be the set of real numbers. Determine all functions f : R $\to$ R that satisfy the equation f(x + f(x + y)) + f(xy) $=$ x + f(x + y) + yf(x) for all real numbers x and y.,Let $P(x) = x^3 - 10x^2 + 7x - 4$. Find the product of all real roots of $P(x) = 0$.,4
69,Algebra,40M,"IMO 2009, Problem P3","Suppose that $s_1$, $s_2$, $s_3$, $\ldots$ is a strictly increasing sequence of positive integers such that the sub-sequences $ss_1$ , $ss_2$ , $ss_3$ , $\ldots$ and $ss_1+1$, $ss_2+1$, $ss_3+1$, $\ldots$ are both arithmetic progressions. Prove that the sequence $s_1$, $s_2$, $s_3$, $\ldots$ is itself $a_n$ arithmetic progression.","For the recurrence $a_0 = 5$, $a_{n+1} = 2a_n + 1$, find $a_{10}$.",6143
70,Algebra,40M,"IMO 2010, Problem P3","Find all functions g : N $\to$ N such that (g(m) + n) (g(n) + m) is a perfect square for all m, n $\in$ N.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
71,Algebra,40M,"IMO 2010, Problem P6","Let $a_1$, $a_2$, $a_3$, $\ldots$ be a sequence of positive real numbers, and s be a positive integer, such that $a_n$ $=$ $max{a_k$ + $a_n-k$ | 1 $\le$ k $\le$ n - 1} for all n $>$ s. Prove there exist positive integers ` $\le$ s and N, such that $a_n$ $=$ a` + $a_n-`$ for all n $\ge$ N.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 2 \pmod{22}$.",200
72,Algebra,40M,"IMO 2011, Problem P3",Let f : R $\to$ R be a real-valued function defined on the set of real numbers that satisfies f(x + y) $\le$ yf(x) + f(f(x)) for all real numbers x and y. Prove that f(x) $=$ 0 for all x $\le$ 0.,Let $P(x) = x^3 - 4x^2 + 3x - 3$. Find the product of all real roots of $P(x) = 0$.,3
73,Algebra,40M,"IMO 2017, Problem P2","Let R be the set of real numbers. Determine all functions f : R $\to$ R such that, for any real numbers x and y, f(f(x)f(y)) + f(x + y) $=$ f(xy).","For the recurrence $a_0 = 4$, $a_{n+1} = 2a_n + 2$, find $a_{10}$.",6142
74,Algebra,40M,"USA TST 2017, P3","Let P, Q $\in$ R[x] be relatively prime nonconstant poly￾nomials. Show that there can be $a_t$ most three real numbers $\lambda$ such that P + $\lambdaQ$ is the square of a polynomial.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
75,Algebra,45M,"IMO 2012, P6","Find all positive integers n for which there exist non-negative integers $a_1$, $a_2$, $\ldots$ , $a_n$ such that 1 2 $a_1$ + 1 2 $a_2$ + $\cdots$ + 1 2 $a_n$ $=$ 1 3 $a_1$ + 2 3 $a_2$ + $\cdots$ + $n^3$ $a_n$ $=$ 1.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 6 \pmod{26}$.",600
76,Algebra,45M,USAMO 2004 P6,A circle $\omega$ is inscribed in a quadrilateral ABCD. Let I be the center of $\omega$. Suppose that (AI + DI)$^2$ + (BI + CI)$^2$ $=$ (AB + CD)$^2$ . Prove that ABCD is $a_n$ isosceles trapezoid.,Let $P(x) = x^3 - 8x^2 + 7x - 2$. Find the product of all real roots of $P(x) = 0$.,2
77,Algebra,45M,USAMO 2020 P3,"Let p be an odd prime. An integer x is called a quadratic non-residue if p does not divide x - $t^2$ for any integer t. Denote by A the set of all integers a such that 1 $\le$ a $<$ p, and both a and 4 - a are quadratic non-residues. Calculate the remainder when the product of the elements of A is divided by p.","For the recurrence $a_0 = 3$, $a_{n+1} = 2a_n + 3$, find $a_{10}$.",6141
78,Algebra,45M,USAMO 2020 P6,Let n $\ge$ 2 be an integer. Let $x_1$ $\ge$ $x_2$ $\ge$ $\cdots$ $\ge$ $x_n$ and $y_1$ $\ge$ $y_2$ $\ge$ $\cdots$ $\ge$ $y_n$ be 2n real numbers such that 0 $=$ $x_1$ + $x_2$ + $\cdots$ + $x_n$ $=$ $y_1$ + $y_2$ + $\cdots$ + $y_n$ and 1 $=$ $x_{1}^{2}$ + $x_{2}^{2}$ + $\cdots$ + $x^2$ n $=$ $y_{1}^{2}$ + $y_{2}^{2}$ + $\cdots$ + $y^2$ n . Prove that $\sum_{i=1}^{n}$ ($x_i$ $y_i$ - xiyn+i-1) $\ge$ 2 $\sqrt$ n - 1 .,"How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
79,Algebra,50M,"IMO 2007, P6","Let n be a positive integer. Consider S $=$ {(x, y, z) | x, y, z $\in$ {0, 1, $\ldots$ , n}, x + y + z $>$ 0} as a set of (n + 1)3 - 1 points in the three-dimensional space. Determine the smallest possible number of planes, the union of which contains S but does not include (0, 0, 0).","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 10 \pmod{30}$.",1000
80,Algebra,50M,USAMO 2000 P6,"Let $a_1$, $b_1$, $a_2$, $b_2$, $\ldots$ , $a_n$, $b_n$ be nonnegative real numbers. Prove that $\sum$ n i,$j=1$ min{aiaj , bibj} $\le$ $\sum$ n i,$j=1$ min{aibj , ajbi}.",Let $P(x) = x^3 - 2x^2 + 3x - 1$. Find the product of all real roots of $P(x) = 0$.,1
81,Combinatorics,0M,USAMO 2005 P4,"Legs $L_1$, $L_2$, $L_3$, $L_4$ of a square table each have length n, where n is a positive integer. For how many ordered 4-tuples ($k_1$, $k_2$, $k_3$, $k_4$) of nonnegative integers can we cut a piece of length $k_i$ from the end of leg $L_i$ (i $=$ 1, 2, 3, 4) and still have a stable table? (The table is stable if it can be placed so that all four of the leg ends touch the floor. Note that a cut leg of length 0 is permitted.)",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
82,Combinatorics,5M,IMO 2002 P1,"Let n be a positive integer. Each point (x, y) in the plane, where x and y are non-negative integers with x + y $<$ n, is colored red or blue, subject to the following condition: if a point (x, y) is red, then so are all points ($x^0$ , $y_0$ ) with $x^0$ $\le$ x and $y^0$ $\le$ y. Let A be the number of ways to choose n blue points with distinct x-coordinates, and let B be the number of ways to choose n blue points with distinct y-coordinates. Prove that A $=$ B.","In a tournament with $10$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",1024
83,Combinatorics,5M,"IMO 2011, P4","Let n $>$ 0 be an integer. We are given a balance and n weights of weight 2 0 , 2 1 , $\cdots$ , 2 n-1 . We are to place each of the n weights on the balance, one after another, in such a way that the right pan is never heavier than the left pan. At each step we choose one of the weights that has not yet been placed on the balance, and place it on either the left pan or the right pan, until all of the weights have been placed. Determine the number of ways in which this can be done.","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
84,Combinatorics,5M,USAMO 2002 P1,"Let S be a set with 2002 elements, and let N be an integer with 0 $\le$ N $\le$ 2 2002. Prove that it is possible to color every subset of S either black or white so that the following conditions hold: (a) the union of any two white subsets is white; (b) the union of any two black subsets is black; (c) there are exactly N white subsets.",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
85,Combinatorics,5M,USAMO 2005 P1,Determine all composite positive integers n for which it is possible to arrange all divisors of n that are greater than 1 in a circle so that no two adjacent divisors are relatively prime.,In how many ways can $6$ men and $3$ women be seated around a circular table such that no two women are adjacent?,29160
86,Combinatorics,5M,USAMO 2019 P4,"Let n be a nonnegative integer. Determine the number of ways that one can choose (n + 1)2 sets $S_i$,j $\subseteq$ {1, 2, $\ldots$ , 2n}, for integers i, j with 0 $\le$ i, j $\le$ n, such that: - for all 0 $\le$ i, j $\le$ n, the set $S_i$,j has i + j elements; and - $S_i$,j $\subseteq$ $S_k$,l whenever 0 $\le$ i $\le$ k $\le$ n and 0 $\le$ j $\le$ l $\le$ n.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
87,Combinatorics,10M,"IMO 2003, P1","Let A be a 101-element subset of the set S $=$ {1, 2, $\ldots$ , 1000000}. Prove that there exist numbers $t_1$, $t_2$, $\ldots$ , $t_100$ in S such that the sets $A_j$ $=$ {x + $t_j$ | x $\in$ A}, j $=$ 1, 2, $\ldots$ , 100 are pairwise disjoint.","In a tournament with $15$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",32768
88,Combinatorics,10M,USAMO 2002 P5,"Let a, b be integers greater than 2. Prove that there exists a positive integer k and a finite sequence $n_1$, $n_2$, $\ldots$ , $n_k$ of positive integers such that $n_1$ $=$ a, $n_k$ $=$ b, and $n_i$ $n_i+1$ is divisible by $n_i$ + $n_i+1$ for each i (1 $\le$ i $<$ k).","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
89,Combinatorics,10M,USAMO 2004 P4,"Alice and Bob play a game on $a^6$ by 6 grid. On his or her turn, a player chooses a rational number not yet appearing in the grid and writes it in $a_n$ empty square of the grid. Alice goes first and then the players alternate. When all squares have numbers written in them, in each row, the square with the greatest number in that row is colored black. Alice wins if she can then draw a line from the top of the grid to the bottom of the grid that stays in black squares, and Bob wins if she can't. (If two squares share a vertex, Alice can draw a line from one to the other that stays in those two squares.) Find, with proof, a winning strategy for one of the players.",How many ways to distribute $9$ identical balls into $5$ distinct boxes?,59049
90,Combinatorics,10M,USAMO 2005 P5,"Let n be an integer greater than 1. Suppose 2n points are given in the plane, no three of which are collinear. Suppose n of the given 2n points are colored blue and the other n colored red. A line in the plane is called a balancing line if it passes through one blue and one red point and, for each side of the line, the number of blue points on that side is equal to the number of red points on the same side. Prove that there exist $a_t$ least two balancing lines.",In how many ways can $5$ men and $4$ women be seated around a circular table such that no two women are adjacent?,40006
91,Combinatorics,10M,USAMO 2008 P4,"Let P be a convex polygon with n sides, n $\ge$ 3. Any set of n - 3 diagonals of P that do not intersect in the interior of the polygon determine a triangulation of P into n - 2 triangles. If P is regular and there is a triangulation of P consisting of only isosceles triangles, find all the possible values of n.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
92,Combinatorics,10M,USAMO 2011 P6,"Let A be a set with |A| $=$ 225, meaning that A has 225 elements. Suppose further that there are eleven subsets $A_1$, $\ldots$ , $A_11$ of A such that $|A_i$ | $=$ 45 for 1 $\le$ i $\le$ 11 and $|A_i$ $\cap$ $A_j$ | $=$ 9 for 1 $\le$ i $<$ j $\le$ 11. Prove that $|A_1\cupA_2\cup\ldots\cupA_11|$ $\ge$ 165, and give $a_n$ example for which equality holds.","In a tournament with $12$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",4096
93,Combinatorics,10M,USAMO 2017 P4,"Let $P_1$, $P_2$, $\ldots$ , $P_2n$ be 2n distinct points on the unit circle $x^2$ + $y^2$ $=$ 1, other than (1, 0). Each point is colored either red or blue, with exactly n red points and n blue points. Let $R_1$, $R_2$, $\ldots$ , $R_n$ be any ordering of the red points. Let $B_1$ be the nearest blue point to $R_1$ traveling counterclockwise around the circle starting from $R_1$. Then let $B_2$ be the nearest of the remaining blue points to $R_2$ travelling counterclockwise around the circle from $R_2$, and so on, until we have labeled all of the blue points $B_1$, $\ldots$ , $B_n$. Show that the number of counterclockwise arcs of the form $R_i$ $\to$ $B_i$ that contain the point (1, 0) is independent of the way we chose the ordering $R_1$, $\ldots$ , $R_n$ of the red points.","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
94,Combinatorics,10M,USAMO 2018 P4,"Let p be a prime, and let $a_1$, $\ldots$ , ap be integers. Show that there exists an integer k such that the numbers $a_1$ + k, $a_2$ + 2k, $\ldots$ , ap + $p_k$ produce $a_t$ least 1 2 p distinct remainders upon division by p.",How many ways to distribute $9$ identical balls into $4$ distinct boxes?,6561
95,Combinatorics,10M,"USA TST 2015, P5","A tournament is a directed graph for which every ($u_n￾ordered$) pair of vertices has a single directed edge from one vertex to the other. Let us define a proper directed-edge-coloring to be $a_n$ assignment of a color to every (directed) edge, so that for every pair of directed edges $-\touv$ and $-\tovw$, those two edges are in different colors. Note that it is permissible for $-\touv$ and $-\touw$ to be the same color. The directed-edge-chromatic-number of a tournament is defined to be the minimum total number of colors that can be used in order to create a proper directed-edge-coloring. For each n, de￾termine the minimum directed-edge-chromatic-number over all tournaments on n vertices.",In how many ways can $10$ men and $5$ women be seated around a circular table such that no two women are adjacent?,28125
96,Combinatorics,10M,"USA TST 2016, P1","Let S $=$ {1, $\ldots$ , n}. Given a bijection f : S $\to$ S $a_n$ orbit of f is a set of the form {x, f(x), f(f(x)), $\ldots$ } for some x $\in$ S. We denote by c(f) the number of distinct orbits of f. For example, if n $=$ 3 and f(1) $=$ 2, f(2) $=$ 1, f(3) $=$ 3, the two orbits are {1, 2} and {3}, hence c(f) $=$ 2. Given k bijections $f_1$, $\ldots$, $f_k$ from S to itself, prove that c($f_1$) + $\cdots$ + c($f_k$) $\le$ n(k - 1) + c(f) where f : S $\to$ S is the composed function $f_1$ ◦ $\cdots$ ◦ $f_k$.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
97,Combinatorics,10M,"USA TSTST 2014, P1","Let $\leftarrow$ denote the left arrow key on a standard keyboard. If one opens a text editor and types the keys $""ab\leftarrow$ cd $\leftarrow\leftarrow$ e $\leftarrow\leftarrow$ f"", the result is ""faecdb"". We say that a string B is reachable from a string A if it is possible to insert some amount of $\leftarrow's$ in A, such that typing the resulting characters produces B. So, our example shows that ""faecdb"" is reachable from ""abcdef"". Prove that for any two strings A and B, A is reachable from B if and only if B is reachable from A.","In a tournament with $9$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",512
98,Combinatorics,10M,"USA TSTST 2019, P8","Let S be a set of 16 points in the plane, no three collinear. Let $\chi$(S) denote the number of ways to draw 8 lines with endpoints in S, such that no two drawn segments intersect, even $a_t$ endpoints. Find the smallest possible value of $\chi$(S) across all such S.","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
99,Combinatorics,15M,"IMO 2000, P4","A magician has one hundred cards numbered 1 to 100. He puts them into three boxes, a red one, a white one and a blue one, so that each box contains $a_t$ least one card. A member of the audience draws two cards from two different boxes and announces the sum of numbers on those cards. Given this information, the magician locates the box from which no card has been drawn. How many ways are there to put the cards in the three boxes so that the trick works?",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
100,Combinatorics,15M,"IMO 2008, P5","Let n and k be positive integers with k $\ge$ n and k - n $a_n$ even number. Let 2n lamps labelled 1, 2, ..., 2n be given, each of which can be either on or off. Initially all the lamps are off. We consider sequences of steps: $a_t$ each step one of the lamps is switched (from on to off or from off to on). Let N be the number of such sequences consisting of k steps and resulting in the state where lamps 1 through n are all on, and lamps n+ 1 through 2n are all off. Let M be number of such sequences consisting of k steps, resulting in the state where lamps 1 through n are all on, and lamps n + 1 through 2n are all off, but where none of the lamps n + 1 through 2n is ever switched on. Determine N M .",In how many ways can $9$ men and $2$ women be seated around a circular table such that no two women are adjacent?,2592
101,Combinatorics,15M,"IMO 2014, P2","Let n $\ge$ 2 be an integer. Consider an n $\times$ n chessboard consisting of $n^2$ unit squares. A configuration of n rooks on this board is peaceful if every row and every column contains exactly one rook. Find the greatest positive integer k such that, for each peaceful configuration of n rooks, there is a k $\times$ k square which does not contain a rook on any of its $k^2$ unit squares.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
102,Combinatorics,15M,"IMO 2015, P1","We say that a finite set S of points in the plane is balanced if, for any two different points A and B in S, there is a point C in S such that AC $=$ BC. We say that S is centre-free if for any three different points A, B and C in S, there is no points P in S such that P A $=$ P B $=$ P C. (a) Show that for all integers n $\ge$ 3, there exists a balanced set consisting of 24 n points. (b) Determine all integers n $\ge$ 3 for which there exists a balanced centre-free set consisting of n points.","In a tournament with $14$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",16384
103,Combinatorics,15M,"IMO 2018, P4","A site is any point (x, y) in the plane such that x and y are both positive integers less than or equal to 20. Initially, each of the 400 sites is unoccupied. Amy and Ben take turns placing stones with Amy going first. On her turn, Amy places a new red stone on an unoccupied site such that the distance between any two sites occupied by red stones is not equal to $\sqrt$ 5. On his turn, Ben places a new blue stone on any unoccupied site. (A site occupied by a blue stone is allowed to be at any distance from any other occupied site.) They stop as soon as a player cannot place a stone. Find the greatest K such that Amy can ensure that she places at least K red stones, no matter how Ben places his blue stones.","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
104,Combinatorics,15M,"IMO 2019, P5","The Bank of Bath issues coins with an H on one side and a T on the other. Harry has n of these coins arranged in a line from left to right. He repeatedly performs the following operation: if there are exactly k $>$ 0 coins showing H, then he turns over the kth coin from the left; otherwise, all coins show T and he stops. For example, if n $=$ 3 the process starting with the configuration T HT would be T HT $\to$ HHT $\to$ HT T $\to$ T T T, which stops after three operations. (a) Show that, for each initial configuration, Harry stops after a finite number of operations. (b) For each initial configuration C, let L(C) be the number of operations before Harry stops. For example, L(T HT) $=$ 3 and L(T T T) $=$ 0. Determine the average value of L(C) over all 2 n possible initial configurations C.",How many ways to distribute $9$ identical balls into $5$ distinct boxes?,59049
105,Combinatorics,15M,"IMO 2020, P4","There is an integer n $>$ 1. There are $n^2$ stations on a slope of a mountain, all at different altitudes. Each of two cable car companies, A and B, operates k cable cars; each cable car provides a transfer from one of the stations to a higher one (with no intermediate stops). The k cable cars of A have k different starting points and k different finishing points, and a cable car which starts higher also finishes higher. The same conditions hold for B. We say that two stations are linked by a company if one can start 25 from the lower station and reach the higher one by using one or more cars of that company (no other movements between stations are allowed). Determine the smallest positive integer k for which one can guarantee that there are two stations that are linked by both companies.",In how many ways can $8$ men and $3$ women be seated around a circular table such that no two women are adjacent?,96768
106,Combinatorics,15M,USAMO 2000 P3,"A game of solitaire is played with R red cards, W white cards, and B blue cards. A player plays all the cards one at a time. With each play he accumulates a penalty. If he plays a blue card, then he is charged a penalty which is the number of white cards still in his hand. If he plays a white card, then he is charged a penalty which is twice the number of red cards still in his hand. If he plays a red card, then he is charged a penalty which is three times the number of blue cards still in his hand. Find, as a function of R, W, and B, the minimal total penalty a player can amass and all the ways in which this minimum can be achieved.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
107,Combinatorics,15M,USAMO 2000 P4,"Find the smallest positive integer n such that if n squares of a 1000 $\times$ 1000 chessboard are colored, then there will exist three colored squares whose centers form a right triangle with sides parallel to the edges of the board.","In a tournament with $11$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",2048
108,Combinatorics,15M,USAMO 2001 P1,"Each of eight boxes contains six balls. Each ball has been colored with one of n colors, such that no two balls in the same box are the same color, and no two colors occur together in more than one box. Determine, with justification, the smallest integer n for which this is possible.","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
109,Combinatorics,15M,USAMO 2011 P2,"An integer is assigned to each vertex of a regular pentagon so that the sum of the five integers is 2011. A turn of a solitaire game consists of subtracting an integer m from each of the integers at two neighboring vertices and adding 2m to the opposite vertex, which is not adjacent to either of the first two vertices. (The amount m and the vertices chosen can vary from turn to turn.) The game is won at a certain vertex if, after some number of turns, that vertex has the number 2011 and the other four vertices have the number 0. Prove that for any choice of the initial integers, there is exactly one vertex at which the game can be won.",How many ways to distribute $9$ identical balls into $4$ distinct boxes?,6561
110,Combinatorics,15M,USAMO 2014 P4,"Let k be a positive integer. Two players A and B play 26 a game on an infinite grid of regular hexagons. Initially all the grid cells are empty. Then the players alternately take turns with A moving first. In his move, A may choose two adjacent hexagons in the grid which are empty and place a counter in both of them. In his move, B may choose any counter on the board and remove it. If at any time there are k consecutive grid cells in a line all of which contain a counter, A wins. Find the minimum value of k for which A cannot win in a finite number of moves, or prove that no such minimum value exists.",In how many ways can $7$ men and $4$ women be seated around a circular table such that no two women are adjacent?,87972
111,Combinatorics,15M,USAMO 2015 P4,"Steve is piling m $\ge$ 1 indistinguishable stones on the squares of an n $\times$ n grid. Each square can have an arbitrarily high pile of stones. After he finished piling his stones in some manner, he can then perform stone moves, defined as follows. Consider any four grid squares, which are corners of a rectangle, i.e. in positions (i, k),(i, l),(j, k),(j, l) for some 1 $\le$ i, j, k, l $\le$ n, such that i $<$ j and k $<$ l. A stone move consists of either removing one stone from each of (i, k) and (j, l) and moving them to (i, l) and (j, k) respectively,j or removing one stone from each of (i, l) and (j, k) and moving them to (i, k) and (j, l) respectively. Two ways of piling the stones are equivalent if they can be obtained from one another by a sequence of stone moves. How many different non-equivalent ways can Steve pile the stones on the grid?",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
112,Combinatorics,15M,USAMO 2016 P1,"Let $\sum_1$, $\sum_2$, $\ldots$ , $\sum_100$ be a sequence of mutually distinct nonempty subsets of a set S. Any two sets $X_i$ and $X_i+1$ are disjoint and their union is not the whole set S, that is, $X_i$ $\cap$ $X_i+1$ $=$ $\varnothing$ and $X_i$ $\cup$ $X_i+1$ $\ne$ S, for all i $\in$ {1, $\ldots$ , 99}. Find the smallest possible number of elements in S.","In a tournament with $8$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",256
113,Combinatorics,15M,USAMO 2016 P6,"Integers n and k are given, with n $\ge$ k $\ge$ 2. You play the following game against an evil wizard. The wizard has 2n cards; for each i $=$ 1, $\ldots$ , n, there are two cards labeled i. Initially, the wizard places all cards face down in a row, in unknown order. You may repeatedly make moves of the following form: you point to any k of the cards. The wizard then turns those cards face up. If any two of the cards match, the game is over and you win. Otherwise, you must look away, while the wizard arbitrarily permutes the k chosen cards and then turns them back 27 face-down. Then, it is your turn again. We say this game is winnable if there exist some positive integer m and some strategy that is guaranteed to win in at most m moves, no matter how the wizard responds. For which values of n and k is the game winnable?","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
114,Combinatorics,15M,USA TST 2017 P1,"In a sports league, each team uses a set of at most t signature colors. A set S of teams is color-identifiable if one can assign each team in S one of their signature colors, such that no team in S is assigned any signature color of a different team in S. For all positive integers n and t, determine the maximum integer g(n, t) such that: In any sports league with exactly n distinct colors present over all teams, one can always find a color-identifiable set of size at least g(n, t).",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
115,Combinatorics,15M,USA TST 2018 P4,"Let n be a positive integer and let S $\subseteq$ {0, 1} n be a set of binary strings of length n. Given an odd number $x_1$, $\ldots$ , $x_2k+1$ $\in$ S of binary strings (not necessarily distinct), their majority is defined as the binary string y $\in$ {0, 1} n for which the i th bit of y is the most common bit among the i th bits of $x_1$, $\ldots$ , $x_2k+1$. (For example, if n $=$ 4 the majority of 0000, 0000, 1101, 1100, 0101 is 0100.) Suppose that for some positive integer k, S has the property $P_k$ that the majority of any 2k + 1 binary strings in S (possibly with repetition) is also in S. Prove that S has the same property $P_k$ for all positive integers k.",In how many ways can $6$ men and $5$ women be seated around a circular table such that no two women are adjacent?,1215
116,Combinatorics,15M,"USA TSTST 2017, P2","Ana and Banana are playing a game. First Ana picks a word, which is defined to be a nonempty sequence of capital English letters. (The word does not need to be a valid English word.) Then Banana picks a nonnegative integer k and challenges Ana to supply a word with exactly k subsequences which are equal to Ana's word. Ana wins if she is able to supply such a word, otherwise she loses. For example, if Ana picks the word ""TST"", and Banana chooses k $=$ 4, then Ana can supply the word ""TSTST"" which has 4 subsequences which are equal to Ana's word. Which words can Ana pick so that she wins no matter what value of k Banana chooses? 28 (The subsequences of a string of length n are the 2 n strings which are formed by deleting some of its characters, possibly all or none, while preserving the order of the remaining characters.)",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
117,Combinatorics,15M,"USA TSTST 2018, P2","In the nation of Onewaynia, certain pairs of cities are connected by one-way roads. Every road connects exactly two cities (roads are allowed to cross each other, e.g., via bridges), and each pair of cities has at most one road between them. Moreover, every city has exactly two roads leaving it and exactly two roads entering it. We wish to close half the roads of Onewaynia in such a way that every city has exactly one road leaving it and exactly one road entering it. Show that the number of ways to do so is a power of 2 greater than 1 (i.e. of the form 2 n for some integer n $\ge$ 1).","In a tournament with $13$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",8192
118,Combinatorics,15M,"USA TSTST 2019, P4","Consider coins with positive real denominations not exceeding 1. Find the smallest C $>$ 0 such that the following holds: if we have any 100 such coins with total value 50, then we can always split them into two stacks of 50 coins each such that the absolute difference between the total values of the two stacks is at most C.","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
119,Combinatorics,20M,"IMO 2013, P2","A configuration of 4027 points in the plane is called Colom￾bian if it consists of 2013 red points and 2014 blue points, and no three of the points of the configuration are collinear. By drawing some lines, the plane is divided into several regions. An arrangement of lines is good for a Colombian configuration if the following two conditions are satisfied: i) No line passes through any point of the configuration. $i_i$) No region contains points of both colors. Find the least value of k such that for any Colombian configuration of 4027 points, there is a good arrangement of k lines.",How many ways to distribute $9$ identical balls into $5$ distinct boxes?,59049
120,Combinatorics,20M,USAMO 2010 P2,"There are n students standing in a circle, one behind the other. The students have heights $h_1$ $<$ $h_2$ $<$ $\cdots$ $<$ $h_n$. If a student with height $h_k$ is standing directly behind a student with height $h_k-2$ or less, the 29 two students are permitted to switch places. Prove that it is not possible to make more than $n^3$  such switches before reaching a position in which no further switches are possible.",In how many ways can $5$ men and $2$ women be seated around a circular table such that no two women are adjacent?,400
121,Combinatorics,20M,USAMO 2012 P6,"For integer n $\ge$ 2, let $x_1$, $x_2$, $\ldots$ , $x_n$ be real numbers satisfying $x_1$ + $x_2$ + $\ldots$ + $x_n$ $=$ 0, and $x_{1}^{2}$ + $x_{2}^{2}$ + $\ldots$ + $x^2$ n $=$ 1. For each subset A $\subseteq$ {1, 2, $\ldots$ , n}, define SA $=$ $\sum$ $i\inA$ $x_i$ . (If A is the empty set, then SA $=$ 0.) Prove that for any positive number $\lambda$, the number of sets A satisfying SA $\ge$ $\lambda$ is at most 2 $n-3/\lambda_2$ . For which choices of $x_1$, $x_2$, $\ldots$ , $x_n$, $\lambda$ does equality hold?",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
