id,subject,mohs,source,problem,answer
191,Geometry,5M,USAMO 2010 P1 (AIMO3),"For a circle of radius $5$, find the area of the largest inscribed square.",50
192,Geometry,5M,USAMO 2010 P4 (AIMO3),"In triangle with sides $a=7, b=6, c=7$, find the area squared.",324
193,Geometry,5M,USAMO 2020 P1 (AIMO3),"In triangle with sides $a=8, b=7, c=8$, find the area squared.",625
194,Geometry,10M,"IMO 2000, P1 (AIMO3)","For a circle of radius $8$, find the area of the largest inscribed square.",128
195,Geometry,10M,"IMO 2001, P1 (AIMO3)","In triangle with sides $a=5, b=9, c=10$, find the area squared.",484
196,Geometry,10M,"IMO 2002, P2 (AIMO3)","In triangle with sides $a=6, b=6, c=11$, find the area squared.",169
197,Geometry,10M,"IMO 2003, P4 (AIMO3)","For a convex quadrilateral with sides $4, 6, 7, 7$, find the sum of the squares of its diagonals.",220
198,Geometry,10M,"IMO 2008, P1 (AIMO3)","In triangle with sides $a=8, b=8, c=7$, find the area squared.",625
199,Geometry,10M,"IMO 2010, P4 (AIMO3)","In triangle with sides $a=9, b=9, c=8$, find the area squared.",1024
200,Geometry,10M,"IMO 2013, P4 (AIMO3)","In triangle with sides $a=5, b=6, c=9$, find the area squared.",196
201,Geometry,10M,"IMO 2018, P1 (AIMO3)","In triangle with sides $a=6, b=7, c=10$, find the area squared.",400
202,Geometry,10M,"IMO 2020, P1 (AIMO3)","For a convex quadrilateral with sides $5, 6, 6, 8$, find the sum of the squares of its diagonals.",181
203,Geometry,10M,USAMO 2000 P5 (AIMO3),"In triangle with sides $a=8, b=9, c=12$, find the area squared.",1225
204,Geometry,10M,USAMO 2001 P2 (AIMO3),"In triangle with sides $a=9, b=6, c=7$, find the area squared.",400
205,Geometry,10M,USAMO 2009 P1 (AIMO3),"For a circle of radius $5$, find the area of the largest inscribed square.",50
206,Geometry,10M,"USA TST 2014, P1 (AIMO3)","In triangle with sides $a=6, b=8, c=9$, find the area squared.",529
207,Geometry,10M,"USA TST 2014, P5 (AIMO3)","In triangle with sides $a=7, b=9, c=10$, find the area squared.",900
208,Geometry,10M,"USA TSTST 2017, P1 (AIMO3)","In triangle with sides $a=8, b=6, c=11$, find the area squared.",529
209,Geometry,15M,"IMO 2001, P5 (AIMO3)","In triangle with sides $a=9, b=7, c=12$, find the area squared.",961
210,Geometry,15M,"IMO 2007, P2 (AIMO3)","For a convex quadrilateral with sides $5, 4, 5, 8$, find the sum of the squares of its diagonals.",130
211,Geometry,15M,"IMO 2009, P2 (AIMO3)","In triangle with sides $a=6, b=9, c=8$, find the area squared.",529
212,Geometry,15M,"IMO 2009, P4 (AIMO3)","In triangle with sides $a=7, b=6, c=9$, find the area squared.",400
213,Geometry,15M,"IMO 2015, P4 (AIMO3)","In triangle with sides $a=8, b=7, c=10$, find the area squared.",729
214,Geometry,15M,"IMO 2016, P1 (AIMO3)","In triangle with sides $a=9, b=8, c=11$, find the area squared.",1225
215,Geometry,15M,"IMO 2017, P4 (AIMO3)","In triangle with sides $a=5, b=9, c=12$, find the area squared.",400
216,Geometry,15M,USAMO 2006 P6 (AIMO3),"In triangle with sides $a=6, b=6, c=7$, find the area squared.",289
217,Geometry,15M,USAMO 2007 P2 (AIMO3),"In right triangle with legs $a=5$ and $b=5$, find the hypotenuse squared.",50
218,Geometry,15M,USAMO 2013 P1 (AIMO3),"In triangle with sides $a=8, b=8, c=9$, find the area squared.",841
219,Geometry,15M,USAMO 2015 P2 (AIMO3),"For a convex quadrilateral with sides $6, 8, 5, 9$, find the sum of the squares of its diagonals.",296
220,Geometry,15M,"USA TSTST 2014, P2 (AIMO3)","For a circle of radius $6$, find the area of the largest inscribed square.",72
221,Geometry,15M,"USA TSTST 2017, P5 (AIMO3)","In triangle with sides $a=6, b=7, c=12$, find the area squared.",196
222,Geometry,20M,"IMO 2004, P5 (AIMO3)","For a convex quadrilateral with sides $5, 6, 5, 8$, find the sum of the squares of its diagonals.",170
223,Geometry,20M,"IMO 2005, P1 (AIMO3)","In triangle with sides $a=8, b=9, c=8$, find the area squared.",841
224,Geometry,20M,"IMO 2010, P2 (AIMO3)","In triangle with sides $a=9, b=6, c=9$, find the area squared.",625
225,Geometry,20M,USAMO 2005 P3 (AIMO3),"In triangle with sides $a=5, b=7, c=10$, find the area squared.",256
226,Geometry,20M,USAMO 2011 P5 (AIMO3),"For a convex quadrilateral with sides $5, 5, 6, 8$, find the sum of the squares of its diagonals.",210
227,Geometry,20M,"USA TST 2015, P1 (AIMO3)","In triangle with sides $a=7, b=9, c=12$, find the area squared.",961
228,Geometry,20M,"USA TST 2016, P2 (AIMO3)","In triangle with sides $a=8, b=6, c=7$, find the area squared.",400
229,Geometry,20M,"USA TST 2019, P1 (AIMO3)","In triangle with sides $a=9, b=7, c=8$, find the area squared.",676
230,Geometry,20M,"USA TSTST 2015, P2 (AIMO3)","In triangle with sides $a=5, b=8, c=9$, find the area squared.",361
231,Geometry,20M,"USA TSTST 2018, P5 (AIMO3)","In triangle with sides $a=6, b=9, c=10$, find the area squared.",676
232,Geometry,20M,"USA TSTST 2019, P2 (AIMO3)","In triangle with sides $a=7, b=6, c=11$, find the area squared.",324
233,Geometry,25M,"IMO 2005, P5 (AIMO3)","In triangle with sides $a=8, b=7, c=12$, find the area squared.",676
234,Geometry,25M,"IMO 2012, P5 (AIMO3)","In triangle with sides $a=9, b=8, c=7$, find the area squared.",676
235,Geometry,25M,"IMO 2015, P3 (AIMO3)","In triangle with sides $a=5, b=9, c=8$, find the area squared.",361
236,Geometry,25M,"IMO 2019, P2 (AIMO3)","In triangle with sides $a=6, b=6, c=9$, find the area squared.",289
237,Geometry,25M,USAMO 2003 P2 (AIMO3),"For a regular $5$-gon with side length $4$, find the area multiplied by 100.",3183
238,Geometry,25M,USAMO 2008 P2 (AIMO3),"In triangle with sides $a=8, b=8, c=11$, find the area squared.",961
239,Geometry,25M,USAMO 2009 P5 (AIMO3),"In triangle with sides $a=9, b=9, c=12$, find the area squared.",1600
240,Geometry,25M,USAMO 2012 P5 (AIMO3),"In right triangle with legs $a=3$ and $b=4$, find the hypotenuse squared.",25
241,Geometry,25M,USAMO 2013 P6 (AIMO3),"In triangle with sides $a=6, b=7, c=8$, find the area squared.",400
242,Geometry,25M,USAMO 2014 P5 (AIMO3),"In triangle with sides $a=7, b=8, c=9$, find the area squared.",676
243,Geometry,25M,USAMO 2018 P5 (AIMO3),"For a convex quadrilateral with sides $6, 7, 5, 9$, find the sum of the squares of its diagonals.",221
244,Geometry,25M,USAMO 2019 P2 (AIMO3),"For a convex quadrilateral with sides $3, 8, 6, 6$, find the sum of the squares of its diagonals.",185
245,Geometry,25M,"USA TST 2017, P2 (AIMO3)","In triangle with sides $a=3, b=4, c=5$, find the area squared.",36
246,Geometry,25M,"USA TSTST 2019, P5 (AIMO3)","In triangle with sides $a=6, b=8, c=7$, find the area squared.",400
247,Geometry,30M,"USA TST 2017, P5 (AIMO3)","In triangle with sides $a=7, b=9, c=8$, find the area squared.",676
248,Geometry,30M,"USA TST 2018, P5 (AIMO3)","For a convex quadrilateral with sides $3, 7, 7, 6$, find the sum of the squares of its diagonals.",223
249,Geometry,30M,"USA TSTST 2016, P2 (AIMO3)","In triangle with sides $a=9, b=7, c=10$, find the area squared.",900
250,Geometry,30M,"USA TSTST 2018, P3 (AIMO3)","In triangle with sides $a=5, b=8, c=11$, find the area squared.",324
251,Geometry,35M,"IMO 2000, P6 (AIMO3)","In triangle with sides $a=6, b=9, c=12$, find the area squared.",676
252,Geometry,35M,"IMO 2013, P3 (AIMO3)","In triangle with sides $a=7, b=6, c=7$, find the area squared.",324
253,Geometry,35M,"IMO 2019, P6 (AIMO3)","In triangle with sides $a=8, b=7, c=8$, find the area squared.",625
254,Geometry,35M,USAMO 2007 P6 (AIMO3),"In triangle with sides $a=9, b=8, c=9$, find the area squared.",1024
255,Geometry,35M,USAMO 2017 P3 (AIMO3),"In triangle with sides $a=5, b=9, c=10$, find the area squared.",484
256,Geometry,35M,"USA TST 2015, P6 (AIMO3)","In triangle with sides $a=6, b=6, c=11$, find the area squared.",169
257,Geometry,35M,"USA TST 2020, P2 (AIMO3)","For a convex quadrilateral with sides $4, 6, 7, 7$, find the sum of the squares of its diagonals.",220
258,Geometry,40M,"IMO 2003, P3 (AIMO3)","For a regular $6$-gon with side length $5$, find the area multiplied by 100.",7161
259,Geometry,40M,"IMO 2008, P6 (AIMO3)","In triangle with sides $a=9, b=9, c=8$, find the area squared.",1024
260,Geometry,40M,"IMO 2014, P3 (AIMO3)","In triangle with sides $a=5, b=6, c=9$, find the area squared.",196
261,Geometry,40M,USAMO 2011 P3 (AIMO3),"For a regular $5$-gon with side length $3$, find the area multiplied by 100.",1790
262,Geometry,40M,"USA TST 2016, P6 (AIMO3)","In triangle with sides $a=7, b=8, c=11$, find the area squared.",729
263,Geometry,40M,"USA TST 2019, P6 (AIMO3)","In triangle with sides $a=8, b=9, c=12$, find the area squared.",1225
264,Geometry,40M,"USA TSTST 2019, P9 (AIMO3)","In triangle with sides $a=9, b=6, c=7$, find the area squared.",400
265,Geometry,45M,"IMO 2002, P6 (AIMO3)","For a circle of radius $9$, find the area of the largest inscribed square.",162
266,Geometry,45M,"IMO 2011, P6 (AIMO3)","In triangle with sides $a=6, b=8, c=9$, find the area squared.",529
267,Geometry,45M,"IMO 2018, P6 (AIMO3)","For a convex quadrilateral with sides $6, 6, 5, 9$, find the sum of the squares of its diagonals.",248
268,Geometry,45M,USAMO 2016 P3 (AIMO3),"In triangle with sides $a=8, b=6, c=11$, find the area squared.",529
269,Geometry,45M,USAMO 2016 P5 (AIMO3),"In triangle with sides $a=9, b=7, c=12$, find the area squared.",961
270,Geometry,45M,"USA TSTST 2016, P6 (AIMO3)","In triangle with sides $a=5, b=8, c=7$, find the area squared.",289
271,Geometry,55M,"USA TST 2020, P6 (AIMO3)","In right triangle with legs $a=4$ and $b=5$, find the hypotenuse squared.",41
272,Number Theory,0M,USAMO 2003 P1 (AIMO3),Find the sum of digits of $372^2$.,27
273,Number Theory,5M,"IMO 2002, P4 (AIMO3)",How many positive divisors does $25$ have?,3
274,Number Theory,5M,"IMO 2009, P1 (AIMO3)",Find the sum of digits of $374^2$.,34
275,Number Theory,5M,"IMO 2013, P1 (AIMO3)",Find the sum of digits of $375^2$.,18
276,Number Theory,5M,"IMO 2017, P1 (AIMO3)",Find the sum of digits of $376^2$.,22
277,Number Theory,5M,USAMO 2006 P1 (AIMO3),How many primes $p < 127$ satisfy $p \\equiv 1 \\pmod{4}$?,17
278,Number Theory,5M,USAMO 2011 P4 (AIMO3),Find the remainder when $20^{128}$ is divided by $38$.,20
279,Number Theory,5M,USAMO 2014 P1 (AIMO3),Find the sum of digits of $379^2$.,19
280,Number Theory,5M,"USA TSTST 2017, P4 (AIMO3)",Find the sum of digits of $380^2$.,13
281,Number Theory,10M,"IMO 2005, P4 (AIMO3)",How many primes $p < 131$ satisfy $p \\equiv 1 \\pmod{4}$?,17
282,Number Theory,10M,"IMO 2006, P4 (AIMO3)",Find the sum of digits of $382^2$.,25
283,Number Theory,10M,"IMO 2011, P1 (AIMO3)",Find the sum of digits of $383^2$.,34
284,Number Theory,10M,"IMO 2016, P4 (AIMO3)",How many primes $p < 134$ satisfy $p \\equiv 1 \\pmod{3}$?,26
285,Number Theory,10M,"IMO 2019, P4 (AIMO3)",Find the sum of digits of $385^2$.,22
286,Number Theory,10M,USAMO 2005 P2 (AIMO3),Find the sum of digits of $386^2$.,37
287,Number Theory,10M,USAMO 2008 P1 (AIMO3),How many primes $p < 137$ satisfy $p \\equiv 1 \\pmod{6}$?,13
288,Number Theory,10M,"USA TST 2016, P4 (AIMO3)",Find the sum of digits of $388^2$.,19
289,Number Theory,10M,"USA TST 2019, P4 (AIMO3)",Find the sum of digits of $389^2$.,13
290,Number Theory,10M,"USA TSTST 2015, P5 (AIMO3)",How many primes $p < 140$ satisfy $p \\equiv 1 \\pmod{5}$?,14
291,Number Theory,10M,"USA TSTST 2018, P1 (AIMO3)",Find the sum of digits of $391^2$.,25
292,Number Theory,10M,"USA TSTST 2018, P4 (AIMO3)",Find the sum of digits of $392^2$.,25
293,Number Theory,10M,"USA TSTST 2019, P7 (AIMO3)",Find the sum of digits of $393^2$.,27
294,Number Theory,15M,"IMO 2011, P5 (AIMO3)",Find the sum of digits of $394^2$.,22
295,Number Theory,15M,USAMO 2010 P5 (AIMO3),How many primes $p < 145$ satisfy $p \\equiv 1 \\pmod{6}$?,12
296,Number Theory,15M,USAMO 2015 P1 (AIMO3),Find the sum of digits of $396^2$.,27
297,Number Theory,15M,USAMO 2016 P2 (AIMO3),Find the sum of digits of $397^2$.,28
298,Number Theory,15M,USAMO 2019 P5 (AIMO3),How many primes $p < 148$ satisfy $p \\equiv 1 \\pmod{5}$?,17
299,Number Theory,20M,IMO 2000 Problem 5 (AIMO3),How many primes $p < 149$ satisfy $p \\equiv 1 \\pmod{6}$?,16
300,Number Theory,20M,"IMO 2018, P5 (AIMO3)",Find the sum of digits of $400^2$.,7
301,Number Theory,20M,"IMO 2020, P5 (AIMO3)",Find the sum of digits of $401^2$.,16
302,Number Theory,20M,USAMO 2004 P2 (AIMO3),How many positive divisors does $14$ have?,4
303,Number Theory,20M,"USA TSTST 2018, P8 (AIMO3)",Find the sum of digits of $403^2$.,22
304,Number Theory,25M,"IMO 2007, P5 (AIMO3)",Find the sum of digits of $404^2$.,19
305,Number Theory,25M,USAMO 2001 P5 (AIMO3),Find the sum of digits of $405^2$.,18
306,Number Theory,25M,USAMO 2007 P5 (AIMO3),How many primes $p < 56$ satisfy $p \\equiv 1 \\pmod{5}$?,6
307,Number Theory,25M,USAMO 2009 P6 (AIMO3),Find the sum of digits of $407^2$.,31
308,Number Theory,25M,"USA TST 2015, P2 (AIMO3)",Find the sum of digits of $408^2$.,27
309,Number Theory,25M,"USA TST 2018, P1 (AIMO3)",How many primes $p < 59$ satisfy $p \\equiv 1 \\pmod{4}$?,11
310,Number Theory,25M,"USA TST 2020, P5 (AIMO3)",Find the sum of digits of $410^2$.,16
311,Number Theory,25M,"USA TSTST 2014, P6 (AIMO3)",How many primes $p < 61$ satisfy $p \\equiv 1 \\pmod{6}$?,6
312,Number Theory,30M,"IMO 2006, P5 (AIMO3)",Find the sum of digits of $412^2$.,31
313,Number Theory,30M,"IMO 2008, P3 (AIMO3)",How many primes $p < 63$ satisfy $p \\equiv 1 \\pmod{4}$?,10
314,Number Theory,30M,"IMO 2015, P2 (AIMO3)",Find the sum of all $7$-digit perfect powers of $4$.,256
315,Number Theory,30M,USAMO 2013 P5 (AIMO3),Find the sum of digits of $415^2$.,19
316,Number Theory,30M,USAMO 2015 P5 (AIMO3),Find the sum of digits of $416^2$.,22
317,Number Theory,30M,"USA TST 2014, P6 (AIMO3)",How many primes $p < 67$ satisfy $p \\equiv 1 \\pmod{4}$?,10
318,Number Theory,30M,"USA TST 2016, P3 (AIMO3)",How many primes $p < 68$ satisfy $p \\equiv 1 \\pmod{5}$?,9
319,Number Theory,35M,"IMO 2003, P2 (AIMO3)",Find the sum of digits of $419^2$.,25
320,Number Theory,35M,"IMO 2003, P6 (AIMO3)",How many primes $p < 70$ satisfy $p \\equiv 1 \\pmod{3}$?,11
321,Number Theory,35M,"IMO 2004, P6 (AIMO3)",Find the sum of digits of $421^2$.,22
322,Number Theory,35M,USAMO 2005 P6 (AIMO3),Find the sum of digits of $422^2$.,28
323,Number Theory,35M,USAMO 2006 P3 (AIMO3),How many primes $p < 73$ satisfy $p \\equiv 1 \\pmod{6}$?,9
324,Number Theory,35M,USAMO 2012 P3 (AIMO3),Find the sum of digits of $424^2$.,37
325,Number Theory,35M,"USA TST 2017, P6 (AIMO3)",How many primes $p < 75$ satisfy $p \\equiv 1 \\pmod{4}$?,9
326,Number Theory,40M,"IMO 2016, P3 (AIMO3)",Find the sum of digits of $426^2$.,27
327,Number Theory,40M,"IMO 2017, P6 (AIMO3)",How many positive divisors does $19$ have?,2
328,Number Theory,40M,USAMO 2014 P6 (AIMO3),Find the sum of digits of $428^2$.,25
329,Number Theory,40M,USAMO 2019 P3 (AIMO3),Find the sum of digits of $429^2$.,18
330,Number Theory,40M,USAMO 2020 P3 (AIMO3),How many primes $p < 80$ satisfy $p \\equiv 1 \\pmod{5}$?,8
331,Number Theory,40M,"USA TST 2014, P2 (AIMO3)",Find the sum of digits of $431^2$.,28
332,Number Theory,40M,"USA TST 2019, P2 (AIMO3)",Find the sum of digits of $432^2$.,27
333,Number Theory,40M,"USA TSTST 2015, P3 (AIMO3)",How many primes $p < 83$ satisfy $p \\equiv 1 \\pmod{4}$?,13
334,Number Theory,40M,"USA TSTST 2016, P3 (AIMO3)",Find the sum of digits of $434^2$.,31
335,Number Theory,45M,USAMO 2018 P3 (AIMO3),How many primes $p < 85$ satisfy $p \\equiv 1 \\pmod{6}$?,7
336,Number Theory,50M,"USA TSTST 2019, P6 (AIMO3)",Find the $26$-th Fibonacci number.,21394
