id,subject,mohs,source,original,original_latex
14,Combinatorics,10M,USAMO 2018 P4,"Let p be a prime, and let a ,...,a be integers. Show 1 p that there exists an integer k such that the numbers a + k,a + 2k,...,a + pk 1 2 p produce at least 1p distinct remainders upon division by p. 2","Let p be a prime, and let a ,\\ldots,a be integers. Show 1 p that there exists an integer k such that the numbers a + k,a + 2k,\\ldots,a + pk 1 2 p produce at least 1p distinct remainders upon division by p. 2"
15,Combinatorics,10M,"USA TST 2015, P5","A tournament is a directed graph for which every (un- ordered) pair of vertices has a single directed edge from one vertex to the other. Let us define a proper directed-edge-coloring to be an assignment of -\to a color to every (directed) edge, so that for every pair of directed edges uv -\to and vw, those two edges are in different colors. Note that it is permissible -\to -\to for uv and uw to be the same color. The directed-edge-chromatic-number of a tournament is defined to be the minimum total number of colors that can be used in order to create a proper directed-edge-coloring. For each n, de- termine the minimum directed-edge-chromatic-number over all tournaments on n vertices.","A tournament is a directed graph for which every (un- ordered) pair of vertices has a single directed edge from one vertex to the other. Let us define a proper directed-edge-coloring to be an assignment of -\to a color to every (directed) edge, so that for every pair of directed edges uv -\to and vw, those two edges are in different colors. Note that it is permissible -\to -\to for uv and uw to be the same color. The directed-edge-chromatic-number of a tournament is defined to be the minimum total number of colors that can be used in order to create a proper directed-edge-coloring. For each n, de- termine the minimum directed-edge-chromatic-number over all tournaments on n vertices."
16,Combinatorics,10M,"USA TST 2016, P1","Let S = {1,...,n}. Given a bijection f : S \to S an orbit of f is a set of the form {x,f(x),f(f(x)),...} for some x \in S. We denote by c(f) the number of distinct orbits of f. For example, if n = 3 and f(1) = 2, f(2) = 1, f(3) = 3, the two orbits are {1,2} and {3}, hence c(f) = 2. Given k bijections f , ..., f from S to itself, prove that 1 k c(f ) + \cdot\cdot\cdot + c(f ) \le n(k - 1) + c(f) 1 k where f : S \to S is the composed function f ^\circ \cdot\cdot\cdot ^\circ f . 1 k","Let S = {1,\\ldots,n}. Given a bijection f : S \to S an orbit of f is a set of the form {x,f(x),f(f(x)),\\ldots} for some x \in S. We denote by c(f) the number of distinct orbits of f. For example, if n = 3 and f(1) = 2, f(2) = 1, f(3) = 3, the two orbits are {1,2} and {3}, hence c(f) = 2. Given k bijections f , \\ldots, f from S to itself, prove that 1 k c(f ) + \cdot\cdot\cdot + c(f ) \le n(k - 1) + c(f) 1 k where f : S \to S is the composed function f ^\circ \cdot\cdot\cdot ^\circ f . 1 k"
17,Combinatorics,10M,"USA TSTST 2014, P1","Let ← denote the left arrow key on a standard keyboard. If one opens a text editor and types the keys ""ab← cd ←← e ←← f"", the result is ""faecdb"". We say that a string B is reachable from a string A if it is possible to insert some amount of ←’s in A, such that typing the resulting characters produces B. So, our example shows that ""faecdb"" is reachable from ""abcdef"". Prove that for any two strings A and B, A is reachable from B if and only if B is reachable from A.","Let ← denote the left arrow key on a standard keyboard. If one opens a text editor and types the keys ""ab← cd ←← e ←← f"", the result is ""faecdb"". We say that a string B is reachable from a string A if it is possible to insert some amount of ←’s in A, such that typing the resulting characters produces B. So, our example shows that ""faecdb"" is reachable from ""abcdef"". Prove that for any two strings A and B, A is reachable from B if and only if B is reachable from A."
18,Combinatorics,10M,"USA TSTST 2019, P8","Let S be a set of 16 points in the plane, no three collinear. Let χ(S) denote the number of ways to draw 8 lines with endpoints in S, such that no two drawn segments intersect, even at endpoints. Find the smallest possible value of χ(S) across all such S.","Let S be a set of 16 points in the plane, no three collinear. Let χ(S) denote the number of ways to draw 8 lines with endpoints in S, such that no two drawn segments intersect, even at endpoints. Find the smallest possible value of χ(S) across all such S."
19,Combinatorics,15M,"IMO 2000, P4","A magician has one hundred cards numbered 1 to 100. He puts them into three boxes, a red one, a white one and a blue one, so that each box contains at least one card. A member of the audience draws two cards from two different boxes and announces the sum of numbers on those cards. Given this information, the magician locates the box from which no card has been drawn. How many ways are there to put the cards in the three boxes so that the trick works?","A magician has one hundred cards numbered 1 to 100. He puts them into three boxes, a red one, a white one and a blue one, so that each box contains at least one card. A member of the audience draws two cards from two different boxes and announces the sum of numbers on those cards. Given this information, the magician locates the box from which no card has been drawn. How many ways are there to put the cards in the three boxes so that the trick works?"
20,Combinatorics,15M,"IMO 2008, P5","Let n and k be positive integers with k \ge n and k - n an even number. Let 2n lamps labelled 1, 2, ..., 2n be given, each of which can be either on or off. Initially all the lamps are off. We consider sequences of steps: at each step one of the lamps is switched (from on to off or from off to on). Let N be the number of such sequences consisting of k steps and resulting in the state where lamps 1 through n are all on, and lamps n+1 through 2n are all off. Let M be number of such sequences consisting of k steps, resulting in the state where lamps 1 through n are all on, and lamps n + 1 through 2n are all off, but where none of the lamps n + 1 through 2n is ever switched on. Determine N . M","Let n and k be positive integers with k \ge n and k - n an even number. Let 2n lamps labelled 1, 2, \\ldots, 2n be given, each of which can be either on or off. Initially all the lamps are off. We consider sequences of steps: at each step one of the lamps is switched (from on to off or from off to on). Let \mathbb{N} be the number of such sequences consisting of k steps and resulting in the state where lamps 1 through n are all on, and lamps n+1 through 2n are all off. Let M be number of such sequences consisting of k steps, resulting in the state where lamps 1 through n are all on, and lamps n + 1 through 2n are all off, but where none of the lamps n + 1 through 2n is ever switched on. Determine \mathbb{N} . M"
21,Combinatorics,15M,"IMO 2014, P2","Let n \ge 2 be an integer. Consider an n × n chessboard consisting of n2 unit squares. A configuration of n rooks on this board is peaceful if every row and every column contains exactly one rook. Find the greatest positive integer k such that, for each peaceful configuration of n rooks, there is a k ×k square which does not contain a rook on any of its k2 unit squares.","Let n \ge 2 be an integer. Consider an n × n chessboard consisting of n2 unit squares. A configuration of n rooks on this board is peaceful if every row and every column contains exactly one rook. Find the greatest positive integer k such that, for each peaceful configuration of n rooks, there is a k ×k square which does not contain a rook on any of its k2 unit squares."
22,Combinatorics,15M,"IMO 2015, P1","We say that a finite set S of points in the plane is balanced if, for any two different points A and B in S, there is a point C in S such that AC = BC. We say that S is centre-free if for any three different points A, B and C in S, there is no points P in S such that PA = PB = PC. (a) Show that for all integers n \ge 3, there exists a balanced set consisting of 24 n points. (b) Determine all integers n \ge 3 for which there exists a balanced centre-free set consisting of n points.","We say that a finite set S of points in the plane is balanced if, for any two different points A and B in S, there is a point C in S such that AC = BC. We say that S is centre-free if for any three different points A, B and C in S, there is no points P in S such that PA = PB = PC. (a) Show that for all integers n \ge 3, there exists a balanced set consisting of 24 n points. (b) Determine all integers n \ge 3 for which there exists a balanced centre-free set consisting of n points."
23,Combinatorics,15M,"IMO 2018, P4","A site is any point (x,y) in the plane such that x and y are both positive integers less than or equal to 20. Initially, each of the 400 sites is unoccupied. Amy and Ben take turns placing stones with Amy going first. On her turn, Amy places a new red stone on an unoccupied site such that the distance between any two sites occupied by \sqrt red stones is not equal to 5. On his turn, Ben places a new blue stone on any unoccupied site. (A site occupied by a blue stone is allowed to be at any distance from any other occupied site.) They stop as soon as a player cannot place a stone. Find the greatest K such that Amy can ensure that she places at least K red stones, no matter how Ben places his blue stones.","A site is any point (x,y) in the plane such that x and y are both positive integers less than or equal to 20. Initially, each of the 400 sites is unoccupied. Amy and Ben take turns placing stones with Amy going first. On her turn, Amy places a new red stone on an unoccupied site such that the distance between any two sites occupied by \sqrt red stones is not equal to 5. On his turn, Ben places a new blue stone on any unoccupied site. (A site occupied by a blue stone is allowed to be at any distance from any other occupied site.) They stop as soon as a player cannot place a stone. Find the greatest K such that Amy can ensure that she places at least K red stones, no matter how Ben places his blue stones."
24,Combinatorics,15M,"IMO 2019, P5","The Bank of Bath issues coins with an H on one side and a T on the other. Harry has n of these coins arranged in a line from left to right. He repeatedly performs the following operation: if there are exactly k > 0 coins showing H, then he turns over the kth coin from the left; otherwise, all coins show T and he stops. For example, if n = 3 the process starting with the configuration THT would be THT \to HHT \to HTT \to TTT, which stops after three operations. (a) Show that, for each initial configuration, Harry stops after a finite number of operations. (b) For each initial configuration C, let L(C) be the number of operations before Harry stops. For example, L(THT) = 3 and L(TTT) = 0. Determine the average value of L(C) over all 2n possible initial configurations C.","The Bank of Bath issues coins with an H on one side and a T on the other. Harry has n of these coins arranged in a line from left to right. He repeatedly performs the following operation: if there are exactly k > 0 coins showing H, then he turns over the kth coin from the left; otherwise, all coins show T and he stops. For example, if n = 3 the process starting with the configuration THT would be THT \to HHT \to HTT \to TTT, which stops after three operations. (a) Show that, for each initial configuration, Harry stops after a finite number of operations. (b) For each initial configuration C, let L(C) be the number of operations before Harry stops. For example, L(THT) = 3 and L(TTT) = 0. Determine the average value of L(C) over all 2n possible initial configurations C."
25,Combinatorics,15M,"IMO 2020, P4","There is an integer n > 1. There are n2 stations on a slope of a mountain, all at different altitudes. Each of two cable car companies, A and B, operates k cable cars; each cable car provides a transfer from one of the stations to a higher one (with no intermediate stops). The k cable cars of A have k different starting points and k different finishing points, and a cable car which starts higher also finishes higher. The same conditions hold for B. We say that two stations are linked by a company if one can start 25 from the lower station and reach the higher one by using one or more cars of that company (no other movements between stations are allowed). Determine the smallest positive integer k for which one can guarantee that there are two stations that are linked by both companies.","There is an integer n > 1. There are n2 stations on a slope of a mountain, all at different altitudes. Each of two cable car companies, A and B, operates k cable cars; each cable car provides a transfer from one of the stations to a higher one (with no intermediate stops). The k cable cars of A have k different starting points and k different finishing points, and a cable car which starts higher also finishes higher. The same conditions hold for B. We say that two stations are linked by a company if one can start 25 from the lower station and reach the higher one by using one or more cars of that company (no other movements between stations are allowed). Determine the smallest positive integer k for which one can guarantee that there are two stations that are linked by both companies."
26,Combinatorics,15M,USAMO 2000 P3,"A game of solitaire is played with R red cards, W white cards, and B blue cards. A player plays all the cards one at a time. With each play he accumulates a penalty. If he plays a blue card, then he is charged a penalty which is the number of white cards still in his hand. If he plays a white card, then he is charged a penalty which is twice the number of red cards still in his hand. If he plays a red card, then he is charged a penalty which is three times the number of blue cards still in his hand. Find, as a function of R,W, and B, the minimal total penalty a player can amass and all the ways in which this minimum can be achieved.","A game of solitaire is played with \mathbb{R} red cards, W white cards, and B blue cards. A player plays all the cards one at a time. With each play he accumulates a penalty. If he plays a blue card, then he is charged a penalty which is the number of white cards still in his hand. If he plays a white card, then he is charged a penalty which is twice the number of red cards still in his hand. If he plays a red card, then he is charged a penalty which is three times the number of blue cards still in his hand. Find, as a function of \mathbb{R},W, and B, the minimal total penalty a player can amass and all the ways in which this minimum can be achieved."
27,Combinatorics,15M,USAMO 2000 P4,"Find the smallest positive integer n such that if n squares of a 1000 × 1000 chessboard are colored, then there will exist three colored squares whose centers form a right triangle with sides parallel to the edges of the board.","Find the smallest positive integer n such that if n squares of a 1000 × 1000 chessboard are colored, then there will exist three colored squares whose centers form a right triangle with sides parallel to the edges of the board."
28,Combinatorics,15M,USAMO 2001 P1,"Each of eight boxes contains six balls. Each ball has been colored with one of n colors, such that no two balls in the same box are the same color, and no two colors occur together in more than one box. Determine, with justification, the smallest integer n for which this is possible.","Each of eight boxes contains six balls. Each ball has been colored with one of n colors, such that no two balls in the same box are the same color, and no two colors occur together in more than one box. Determine, with justification, the smallest integer n for which this is possible."
29,Combinatorics,15M,USAMO 2011 P2,"An integer is assigned to each vertex of a regular pentagon so that the sum of the five integers is 2011. A turn of a solitaire game consists of subtracting an integer m from each of the integers at two neighboring vertices and adding 2m to the opposite vertex, which is not adjacent to either of the first two vertices. (The amount m and the vertices chosen can vary from turn to turn.) The game is won at a certain vertex if, after some number of turns, that vertex has the number 2011 and the other four vertices have the number 0. Prove that for any choice of the initial integers, there is exactly one vertex at which the game can be won.","An integer is assigned to each vertex of a regular pentagon so that the sum of the five integers is 2011. A turn of a solitaire game consists of subtracting an integer m from each of the integers at two neighboring vertices and adding 2m to the opposite vertex, which is not adjacent to either of the first two vertices. (The amount m and the vertices chosen can vary from turn to turn.) The game is won at a certain vertex if, after some number of turns, that vertex has the number 2011 and the other four vertices have the number 0. Prove that for any choice of the initial integers, there is exactly one vertex at which the game can be won."
30,Combinatorics,15M,USAMO 2014 P4,"Let k be a positive integer. Two players A and B play 26 a game on an infinite grid of regular hexagons. Initially all the grid cells are empty. Then the players alternately take turns with A moving first. In his move, A may choose two adjacent hexagons in the grid which are empty and place a counter in both of them. In his move, B may choose any counter on the board and remove it. If at any time there are k consecutive grid cells in a line all of which contain a counter, A wins. Find the minimum value of k for which A cannot win in a finite number of moves, or prove that no such minimum value exists.","Let k be a positive integer. Two players A and B play 26 a game on an infinite grid of regular hexagons. Initially all the grid cells are empty. Then the players alternately take turns with A moving first. In his move, A may choose two adjacent hexagons in the grid which are empty and place a counter in both of them. In his move, B may choose any counter on the board and remove it. If at any time there are k consecutive grid cells in a line all of which contain a counter, A wins. Find the minimum value of k for which A cannot win in a finite number of moves, or prove that no such minimum value exists."
31,Combinatorics,15M,USAMO 2015 P4,"Steve is piling m \ge 1 indistinguishable stones on the squares of an n × n grid. Each square can have an arbitrarily high pile of stones. After he finished piling his stones in some manner, he can then perform stone moves, defined as follows. Consider any four grid squares, which are corners of a rectangle, i.e. in positions (i,k),(i,l),(j,k),(j,l) for some 1 \le i,j,k,l \le n, such that i < j and k < l. A stone move consists of either removing one stone from each of (i,k) and (j,l) and moving them to (i,l) and (j,k) respectively,j or removing one stone from each of (i,l) and (j,k) and moving them to (i,k) and (j,l) respectively. Two ways of piling the stones are equivalent if they can be obtained from one another by a sequence of stone moves. How many different non-equivalent ways can Steve pile the stones on the grid?","Steve is piling m \ge 1 indistinguishable stones on the squares of an n × n grid. Each square can have an arbitrarily high pile of stones. After he finished piling his stones in some manner, he can then perform stone moves, defined as follows. Consider any four grid squares, which are corners of a rectangle, i.e. in positions (i,k),(i,l),(j,k),(j,l) for some 1 \le i,j,k,l \le n, such that i < j and k < l. A stone move consists of either removing one stone from each of (i,k) and (j,l) and moving them to (i,l) and (j,k) respectively,j or removing one stone from each of (i,l) and (j,k) and moving them to (i,k) and (j,l) respectively. Two ways of piling the stones are equivalent if they can be obtained from one another by a sequence of stone moves. How many different non-equivalent ways can Steve pile the stones on the grid?"
32,Combinatorics,15M,USAMO 2016 P1,"Let X ,X ,...,X be a sequence of mutually distinct 1 2 100 nonempty subsets of a set S. Any two sets X and X are disjoint and their i i+1 union is not the whole set S, that is, X ∩ X = ∅ and X ∪ X \neq= S, for i i+1 i i+1 all i \in {1,...,99}. Find the smallest possible number of elements in S.","Let X ,X ,\\ldots,X be a sequence of mutually distinct 1 2 100 nonempty subsets of a set S. Any two sets X and X are disjoint and their i i+1 union is not the whole set S, that is, X ∩ X = ∅ and X ∪ X \neq= S, for i i+1 i i+1 all i \in {1,\\ldots,99}. Find the smallest possible number of elements in S."
33,Combinatorics,15M,USAMO 2016 P6,"Integers n and k are given, with n \ge k \ge 2. You play the following game against an evil wizard. The wizard has 2n cards; for each i = 1,...,n, there are two cards labeled i. Initially, the wizard places all cards face down in a row, in unknown order. You may repeatedly make moves of the following form: you point to any k of the cards. The wizard then turns those cards face up. If any two of the cards match, the game is over and you win. Otherwise, you must look away, while the wizard arbitrarily permutes the k chosen cards and then turns them back 27 face-down. Then, it is your turn again. We say this game is winnable if there exist some positive integer m and some strategy that is guaranteed to win in at most m moves, no matter how the wizard responds. For which values of n and k is the game winnable?","Integers n and k are given, with n \ge k \ge 2. You play the following game against an evil wizard. The wizard has 2n cards; for each i = 1,\\ldots,n, there are two cards labeled i. Initially, the wizard places all cards face down in a row, in unknown order. You may repeatedly make moves of the following form: you point to any k of the cards. The wizard then turns those cards face up. If any two of the cards match, the game is over and you win. Otherwise, you must look away, while the wizard arbitrarily permutes the k chosen cards and then turns them back 27 face-down. Then, it is your turn again. We say this game is winnable if there exist some positive integer m and some strategy that is guaranteed to win in at most m moves, no matter how the wizard responds. For which values of n and k is the game winnable?"
34,Combinatorics,15M,USA TST 2017 P1,"In a sports league, each team uses a set of at most t signature colors. A set S of teams is color-identifiable if one can assign each team in S one of their signature colors, such that no team in S is assigned any signature color of a different team in S. For all positive integers n and t, determine the maximum integer g(n,t) such that: In any sports league with exactly n distinct colors present over all teams, one can always find a color-identifiable set of size at least g(n,t).","In a sports league, each team uses a set of at most t signature colors. A set S of teams is color-identifiable if one can assign each team in S one of their signature colors, such that no team in S is assigned any signature color of a different team in S. For all positive integers n and t, determine the maximum integer g(n,t) such that: In any sports league with exactly n distinct colors present over all teams, one can always find a color-identifiable set of size at least g(n,t)."
35,Combinatorics,15M,USA TST 2018 P4,"Let n be a positive integer and let S ⊆ {0,1}n be a set of binary strings of length n. Given an odd number x ,...,x \in S 1 2k+1 of binary strings (not necessarily distinct), their majority is defined as the binary string y \in {0,1}n for which the ith bit of y is the most common bit among the ith bits of x ,...,x . (For example, if n = 4 the majority of 1 2k+1 0000, 0000, 1101, 1100, 0101 is 0100.) Suppose that for some positive integer k, S has the property P that the k majority of any 2k + 1 binary strings in S (possibly with repetition) is also in S. Prove that S has the same property P for all positive integers k. k","Let n be a positive integer and let S ⊆ {0,1}n be a set of binary strings of length n. Given an odd number x ,\\ldots,x \in S 1 2k+1 of binary strings (not necessarily distinct), their majority is defined as the binary string y \in {0,1}n for which the ith bit of y is the most common bit among the ith bits of x ,\\ldots,x . (For example, if n = 4 the majority of 1 2k+1 0000, 0000, 1101, 1100, 0101 is 0100.) Suppose that for some positive integer k, S has the property P that the k majority of any 2k + 1 binary strings in S (possibly with repetition) is also in S. Prove that S has the same property P for all positive integers k. k"
36,Combinatorics,15M,"USA TSTST 2017, P2","Ana and Banana are playing a game. First Ana picks a word, which is defined to be a nonempty sequence of capital English letters. (The word does not need to be a valid English word.) Then Banana picks a nonnegative integer k and challenges Ana to supply a word with exactly k subsequences which are equal to Ana’s word. Ana wins if she is able to supply such a word, otherwise she loses. For example, if Ana picks the word ""TST"", and Banana chooses k = 4, then Ana can supply the word ""TSTST"" which has 4 subsequences which are equal to Ana’s word. Which words can Ana pick so that she wins no matter what value of k Banana chooses? 28 (The subsequences of a string of length n are the 2n strings which are formed by deleting some of its characters, possibly all or none, while preserving the order of the remaining characters.)","Ana and Banana are playing a game. First Ana picks a word, which is defined to be a nonempty sequence of capital English letters. (The word does not need to be a valid English word.) Then Banana picks a nonnegative integer k and challenges Ana to supply a word with exactly k subsequences which are equal to Ana’s word. Ana wins if she is able to supply such a word, otherwise she loses. For example, if Ana picks the word ""TST"", and Banana chooses k = 4, then Ana can supply the word ""TSTST"" which has 4 subsequences which are equal to Ana’s word. Which words can Ana pick so that she wins no matter what value of k Banana chooses? 28 (The subsequences of a string of length n are the 2n strings which are formed by deleting some of its characters, possibly all or none, while preserving the order of the remaining characters.)"
37,Combinatorics,15M,"USA TSTST 2018, P2","In the nation of Onewaynia, certain pairs of cities are connected by one-way roads. Every road connects exactly two cities (roads are allowed to cross each other, e.g., via bridges), and each pair of cities has at most one road between them. Moreover, every city has exactly two roads leaving it and exactly two roads entering it. We wish to close half the roads of Onewaynia in such a way that every city has exactly one road leaving it and exactly one road entering it. Show that the number of ways to do so is a power of 2 greater than 1 (i.e. of the form 2n for some integer n \ge 1).","In the nation of Onewaynia, certain pairs of cities are connected by one-way roads. Every road connects exactly two cities (roads are allowed to cross each other, e.g., via bridges), and each pair of cities has at most one road between them. Moreover, every city has exactly two roads leaving it and exactly two roads entering it. We wish to close half the roads of Onewaynia in such a way that every city has exactly one road leaving it and exactly one road entering it. Show that the number of ways to do so is a power of 2 greater than 1 (i.e. of the form 2n for some integer n \ge 1)."
38,Combinatorics,15M,"USA TSTST 2019, P4","Consider coins with positive real denominations not exceeding 1. Find the smallest C > 0 such that the following holds: if we have any 100 such coins with total value 50, then we can always split them into two stacks of 50 coins each such that the absolute difference between the total values of the two stacks is at most C.","Consider coins with positive real denominations not exceeding 1. Find the smallest C > 0 such that the following holds: if we have any 100 such coins with total value 50, then we can always split them into two stacks of 50 coins each such that the absolute difference between the total values of the two stacks is at most C."
39,Combinatorics,20M,"IMO 2013, P2","A configuration of 4027 points in the plane is called Colom- bian if it consists of 2013 red points and 2014 blue points, and no three of the points of the configuration are collinear. By drawing some lines, the plane is divided into several regions. An arrangement of lines is good for a Colombian configuration if the following two conditions are satisfied: i) No line passes through any point of the configuration. ii) No region contains points of both colors. Find the least value of k such that for any Colombian configuration of 4027 points, there is a good arrangement of k lines.","A configuration of 4027 points in the plane is called Colom- bian if it consists of 2013 red points and 2014 blue points, and no three of the points of the configuration are collinear. By drawing some lines, the plane is divided into several regions. An arrangement of lines is good for a Colombian configuration if the following two conditions are satisfied: i) No line passes through any point of the configuration. ii) No region contains points of both colors. Find the least value of k such that for any Colombian configuration of 4027 points, there is a good arrangement of k lines."
40,Combinatorics,20M,USAMO 2010 P2,"There are n students standing in a circle, one behind the other. The students have heights h < h < \cdot\cdot\cdot < h . If a student with 1 2 n height h is standing directly behind a student with height h or less, the k k-2 29 two students are permitted to switch places. Prove that it is not possible to make more than (cid:0)n(cid:1) such switches before reaching a position in which no 3 further switches are possible.","There are n students standing in a circle, one behind the other. The students have heights h < h < \cdot\cdot\cdot < h . If a student with 1 2 n height h is standing directly behind a student with height h or less, the k k-2 29 two students are permitted to switch places. Prove that it is not possible to make more than (cid:0)n(cid:1) such switches before reaching a position in which no 3 further switches are possible."
41,Combinatorics,20M,USAMO 2012 P6,"For integer n \ge 2, let x ,x ,...,x be real numbers 1 2 n satisfying x + x + ... + x = 0, and x2 + x2 + ... + x2 = 1. 1 2 n_1 2 n For each subset A ⊆ {1,2,...,n}, define \sum S = x . A i i\inA (If A is the empty set, then S = 0.) A Prove that for any positive number λ, the number of sets A satisfying S \ge λ A is at most 2n-3/λ2. For which choices of x ,x ,...,x ,λ does equality hold? 1 2 n","For integer n \ge 2, let x ,x ,\\ldots,x be real numbers 1 2 n satisfying x + x + \\ldots + x = 0, and x2 + x2 + \\ldots + x2 = 1. 1 2 n_1 2 n For each subset A ⊆ {1,2,\\ldots,n}, define \sum S = x . A i i\inA (If A is the empty set, then S = 0.) A Prove that for any positive number λ, the number of sets A satisfying S \ge λ A is at most 2n-3/λ2. For which choices of x ,x ,\\ldots,x ,λ does equality hold? 1 2 n"
42,Combinatorics,20M,USAMO 2020 P2,"An empty 2020 × 2020 × 2020 cube is given, and a 2020 × 2020 grid of square unit cells is drawn on each of its six faces. A beam is a_1 × 1 × 2020 rectangular prism. Several beams are placed inside the cube subject to the following conditions: • The two 1×1 faces of each beam coincide with unit cells lying on opposite faces of the cube. (Hence, there are 3 \cdot 20202 possible positions for a beam.) • No two beams have intersecting interiors. • The interiors of each of the four 1×2020 faces of each beam touch either a face of the cube or the interior of the face of another beam. What is the smallest positive number of beams that can be placed to satisfy these conditions?","An empty 2020 × 2020 × 2020 cube is given, and a 2020 × 2020 grid of square unit cells is drawn on each of its six faces. A beam is a_1 × 1 × 2020 rectangular prism. Several beams are placed inside the cube subject to the following conditions: • The two 1×1 faces of each beam coincide with unit cells lying on opposite faces of the cube. (Hence, there are 3 \cdot 20202 possible positions for a beam.) • No two beams have intersecting interiors. • The interiors of each of the four 1×2020 faces of each beam touch either a face of the cube or the interior of the face of another beam. What is the smallest positive number of beams that can be placed to satisfy these conditions?"
43,Combinatorics,20M,USAMO 2020 P4,"Suppose that (a ,b ), (a ,b ), ..., (a ,b ) are distinct 1 1 2 2 100 100 ordered pairs of nonnegative integers. Let N denote the number of pairs of integers (i,j) satisfying 1 \le i < j \le 100 and |a b - a b | = 1. Determine i j j i the largest possible value of N over all possible choices of the 100 ordered pairs.","Suppose that (a ,b ), (a ,b ), \\ldots, (a ,b ) are distinct 1 1 2 2 100 100 ordered pairs of nonnegative integers. Let \mathbb{N} denote the number of pairs of integers (i,j) satisfying 1 \le i < j \le 100 and |a b - a b | = 1. Determine i j j i the largest possible value of \mathbb{N} over all possible choices of the 100 ordered pairs."
44,Combinatorics,20M,"USA TST 2020, P4","For a finite simple graph G, we define G(cid:48) to be the graph on the same vertex set as G, where for any two vertices u \neq= v, the pair {u,v} is an edge of G(cid:48) if and only if u and v have a common neighbor in G. Prove that if G is a finite simple graph which is isomorphic to (G(cid:48))(cid:48), then G is also isomorphic to G(cid:48).","For a finite simple graph G, we define G(cid:48) to be the graph on the same vertex set as G, where for any two vertices u \neq= v, the pair {u,v} is an edge of G(cid:48) if and only if u and v have a common neighbor in G. Prove that if G is a finite simple graph which is isomorphic to (G(cid:48))(cid:48), then G is also isomorphic to G(cid:48)."
45,Combinatorics,20M,"USA TSTST 2014, P5","Find the maximum number E such that the following holds: there is an edge-colored graph with 60 vertices and E edges, with each edge colored either red or blue, such that in that coloring, there is no monochromatic cycles of length 3 and no monochromatic cycles of length 5.","Find the maximum number E such that the following holds: there is an edge-colored graph with 60 vertices and E edges, with each edge colored either red or blue, such that in that coloring, there is no monochromatic cycles of length 3 and no monochromatic cycles of length 5."
46,Combinatorics,20M,"USA TSTST 2016, P3","Decide whether or not there exists a nonconstant polynomial Q(x) with integer coefficients with the following property: for every positive integer n > 2, the numbers Q(0), Q(1),Q(2), ..., Q(n - 1) produce at most 0.499n distinct residues when taken modulo n.","Decide whether or not there exists a nonconstant polynomial \mathbb{Q}(x) with integer coefficients with the following property: for every positive integer n > 2, the numbers \mathbb{Q}(0), \mathbb{Q}(1),\mathbb{Q}(2), \\ldots, \mathbb{Q}(n - 1) produce at most 0.499n distinct residues when taken modulo n."
47,Combinatorics,25M,"IMO 2001, P3","Twenty-one girls and twenty-one boys took part in a math- ematical competition. It turned out that each contestant solved at most six problems, and for each pair of a girl and a boy, there was at least one problem that was solved by both the girl and the boy. Show that there is a problem that was solved by at least three girls and at least three boys.","Twenty-one girls and twenty-one boys took part in a math- ematical competition. It turned out that each contestant solved at most six problems, and for each pair of a girl and a boy, there was at least one problem that was solved by both the girl and the boy. Show that there is a problem that was solved by at least three girls and at least three boys."
48,Combinatorics,25M,"IMO 2016, P6","There are n \ge 2 line segments in the plane such that every two segments cross and no three segments meet at a point. Geoff has to choose an endpoint of each segment and place a frog on it facing the other endpoint. Then he will clap his hands n-1 times. Every time he claps,each frog will immediately jump forward to the next intersection point on its segment. Frogs never change the direction of their jumps. Geoff wishes to place the frogs in such a way that no two of them will ever occupy the same intersection point at the same time. (a) Prove that Geoff can always fulfill his wish if n is odd. 31 (b) Prove that Geoff can never fulfill his wish if n is even.","There are n \ge 2 line segments in the plane such that every two segments cross and no three segments meet at a point. Geoff has to choose an endpoint of each segment and place a frog on it facing the other endpoint. Then he will clap his hands n-1 times. Every time he claps,each frog will immediately jump forward to the next intersection point on its segment. Frogs never change the direction of their jumps. Geoff wishes to place the frogs in such a way that no two of them will ever occupy the same intersection point at the same time. (a) Prove that Geoff can always fulfill his wish if n is odd. 31 (b) Prove that Geoff can never fulfill his wish if n is even."
49,Combinatorics,25M,USAMO 2002 P6,"I have an n × n sheet of stamps, from which I’ve been asked to tear out blocks of three adjacent stamps in a single row or column. (I can only tear along the perforations separating adjacent stamps, and each block must come out of the sheet in one piece.) Let b(n) be the smallest number of blocks I can tear out and make it impossible to tear out any more blocks. Prove that there are real constants c and d such that 1 1 n2 - cn \le b(n) \le n2 + dn 7 5 for all n > 0.","I have an n × n sheet of stamps, from which I’ve been asked to tear out blocks of three adjacent stamps in a single row or column. (I can only tear along the perforations separating adjacent stamps, and each block must come out of the sheet in one piece.) Let b(n) be the smallest number of blocks I can tear out and make it impossible to tear out any more blocks. Prove that there are real constants c and d such that 1 1 n2 - cn \le b(n) \le n2 + dn 7 5 for all n > 0."
